_count,demarcation.code,financial_year_end.year,opinion.code,opinion.label
1,BUF,2015,qualified,Qualified
1,BUF,2016,qualified,Qualified
1,BUF,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,BUF,2018,qualified,Qualified
1,BUF,2019,qualified,Qualified
1,BUF,2020,qualified,Qualified
1,BUF,2021,qualified,Qualified
1,BUF,2022,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,BUF,2023,qualified,Qualified
1,BUF,2024,qualified,Qualified
1,CPT,2015,unqualified,Unqualified - No findings
1,CPT,2016,unqualified,Unqualified - No findings
1,CPT,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,CPT,2018,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,CPT,2019,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,CPT,2020,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,CPT,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,CPT,2022,unqualified,Unqualified - No findings
1,CPT,2023,unqualified,Unqualified - No findings
1,CPT,2024,unqualified,Unqualified - No findings
1,DC1,2015,unqualified,Unqualified - No findings
1,DC1,2016,unqualified,Unqualified - No findings
1,DC1,2017,unqualified,Unqualified - No findings
1,DC1,2018,unqualified,Unqualified - No findings
1,DC1,2019,unqualified,Unqualified - No findings
1,DC1,2020,unqualified,Unqualified - No findings
1,DC1,2021,unqualified,Unqualified - No findings
1,DC1,2022,unqualified,Unqualified - No findings
1,DC1,2023,unqualified,Unqualified - No findings
1,DC1,2024,unqualified,Unqualified - No findings
1,DC10,2015,unqualified,Unqualified - No findings
1,DC10,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2018,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2019,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2020,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2022,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2023,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC10,2024,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC12,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC12,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC12,2017,qualified,Qualified
1,DC12,2018,qualified,Qualified
1,DC12,2019,disclaimer,Disclaimer of opinion
1,DC12,2020,adverse,Adverse opinion
1,DC12,2021,adverse,Adverse opinion
1,DC12,2022,disclaimer,Disclaimer of opinion
1,DC12,2023,disclaimer,Disclaimer of opinion
1,DC12,2024,qualified,Qualified
1,DC13,2015,qualified,Qualified
1,DC13,2016,qualified,Qualified
1,DC13,2017,qualified,Qualified
1,DC13,2018,qualified,Qualified
1,DC13,2019,disclaimer,Disclaimer of opinion
1,DC13,2020,disclaimer,Disclaimer of opinion
1,DC13,2021,disclaimer,Disclaimer of opinion
1,DC13,2022,qualified,Qualified
1,DC13,2023,qualified,Qualified
1,DC13,2024,qualified,Qualified
1,DC14,2015,unqualified,Unqualified - No findings
1,DC14,2016,unqualified,Unqualified - No findings
1,DC14,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC14,2018,unqualified,Unqualified - No findings
1,DC14,2019,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC14,2020,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC14,2021,unqualified,Unqualified - No findings
1,DC14,2022,unqualified,Unqualified - No findings
1,DC14,2023,unqualified,Unqualified - No findings
1,DC14,2024,unqualified,Unqualified - No findings
1,DC15,2015,qualified,Qualified
1,DC15,2016,qualified,Qualified
1,DC15,2017,qualified,Qualified
1,DC15,2018,qualified,Qualified
1,DC15,2019,qualified,Qualified
1,DC15,2020,qualified,Qualified
1,DC15,2021,qualified,Qualified
1,DC15,2022,qualified,Qualified
1,DC15,2023,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC15,2024,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2015,qualified,Qualified
1,DC16,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2018,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2019,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2020,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2021,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2022,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2023,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC16,2024,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC18,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
1,DC18,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items
