amount.sum,amount_type.code,demarcation.code,financial_year_end.year
3501274563.0,ADJB,BUF,2020
3641612718.0,AUDA,BUF,2020
3512701832.0,ADJB,BUF,2021
3379190427.0,AUDA,BUF,2021
2671304206.0,ADJB,BUF,2022
3379708041.0,AUDA,BUF,2022
2478062243.0,ADJB,BUF,2023
3717308939.0,AUDA,BUF,2023
2409866923.0,ADJB,BUF,2024
3493243319.0,AUDA,BUF,2024
13878721142.0,ADJB,CPT,2020
7921082510.0,AUDA,CPT,2020
14392869622.0,ADJB,CPT,2021
9248838304.0,AUDA,CPT,2021
13795154265.0,ADJB,CPT,2022
8301760439.0,AUDA,CPT,2022
16159552051.0,ADJB,CPT,2023
11991460969.0,AUDA,CPT,2023
20825222747.0,ADJB,CPT,2024
14278070288.0,AUDA,CPT,2024
40085091.0,ADJB,DC1,2020
28786059.0,AUDA,DC1,2020
36458176.0,ADJB,DC1,2021
29785910.0,AUDA,DC1,2021
48329323.0,ADJB,DC1,2022
39090793.0,AUDA,DC1,2022
58696119.0,ADJB,DC1,2023
45653626.0,AUDA,DC1,2023
184916028.0,ADJB,DC1,2024
79412340.0,AUDA,DC1,2024
10240000.0,ADJB,DC10,2020
11427843.0,AUDA,DC10,2020
10312200.0,ADJB,DC10,2021
14005694.0,AUDA,DC10,2021
26202000.0,ADJB,DC10,2022
6618206.0,AUDA,DC10,2022
21127000.0,ADJB,DC10,2023
6103313.0,AUDA,DC10,2023
16857000.0,ADJB,DC10,2024
10005628.0,AUDA,DC10,2024
605629032.0,ADJB,DC12,2020
109289161.0,AUDA,DC12,2020
509183604.0,ADJB,DC12,2021
409232937.0,AUDA,DC12,2021
597570250.0,ADJB,DC12,2022
374835944.0,AUDA,DC12,2022
945170216.0,ADJB,DC12,2023
271578702.0,AUDA,DC12,2023
705215748.0,ADJB,DC12,2024
521439818.0,AUDA,DC12,2024
647932419.0,ADJB,DC13,2020
216188086.0,AUDA,DC13,2020
802243058.0,ADJB,DC13,2021
218284585.0,AUDA,DC13,2021
877344156.0,ADJB,DC13,2022
221941562.0,AUDA,DC13,2022
899646831.0,ADJB,DC13,2023
236210638.0,AUDA,DC13,2023
889643386.0,ADJB,DC13,2024
243774624.0,AUDA,DC13,2024
297379568.0,ADJB,DC14,2020
321047607.0,AUDA,DC14,2020
364550075.0,ADJB,DC14,2021
243587493.0,AUDA,DC14,2021
434672246.0,ADJB,DC14,2022
290523330.0,AUDA,DC14,2022
331766667.0,ADJB,DC14,2023
219194514.0,AUDA,DC14,2023
377350100.0,ADJB,DC14,2024
293591243.0,AUDA,DC14,2024
1604380848.0,ADJB,DC15,2020
372462573.0,AUDA,DC15,2020
1528049202.0,ADJB,DC15,2021
392801057.0,AUDA,DC15,2021
1069760348.0,ADJB,DC15,2022
260407195.0,AUDA,DC15,2022
1038593114.0,ADJB,DC15,2023
288776160.0,AUDA,DC15,2023
1407790123.0,ADJB,DC15,2024
563418780.0,AUDA,DC15,2024
1898450.0,ADJB,DC16,2020
2413772.0,AUDA,DC16,2020
2216850.0,ADJB,DC16,2021
2746411.0,AUDA,DC16,2021
2313033.0,ADJB,DC16,2022
3598993.0,AUDA,DC16,2022
2702767.0,ADJB,DC16,2023
4033025.0,AUDA,DC16,2023
25332577.0,ADJB,DC16,2024
4318643.0,AUDA,DC16,2024
25360218.0,ADJB,DC18,2020
7167235.0,AUDA,DC18,2020
22754304.0,ADJB,DC18,2021
18965980.0,AUDA,DC18,2021
22598755.0,ADJB,DC18,2022
12832290.0,AUDA,DC18,2022
18202064.0,ADJB,DC18,2023
7465375.0,AUDA,DC18,2023
18453674.0,ADJB,DC18,2024
15246408.0,AUDA,DC18,2024
8240123.0,ADJB,DC19,2020
5550810.0,AUDA,DC19,2020
9403722.0,ADJB,DC19,2021
6816328.0,AUDA,DC19,2021
12864415.0,ADJB,DC19,2022
3121188.0,AUDA,DC19,2022
8667877.0,ADJB,DC19,2023
3557621.0,AUDA,DC19,2023
18688224.0,ADJB,DC19,2024
4058885.0,AUDA,DC19,2024
28468497.0,ADJB,DC2,2020
20466192.0,AUDA,DC2,2020
24159597.0,ADJB,DC2,2021
21220093.0,AUDA,DC2,2021
33546052.0,ADJB,DC2,2022
18990203.0,AUDA,DC2,2022
50769771.0,ADJB,DC2,2023
39802177.0,AUDA,DC2,2023
95846870.0,ADJB,DC2,2024
62337746.0,AUDA,DC2,2024
14896000.0,ADJB,DC20,2020
14906193.0,AUDA,DC20,2020
8181000.0,ADJB,DC20,2021
11762448.0,AUDA,DC20,2021
14037301.0,ADJB,DC20,2022
13348362.0,AUDA,DC20,2022
11360500.0,ADJB,DC20,2023
11440522.0,AUDA,DC20,2023
11605000.0,ADJB,DC20,2024
12468743.0,AUDA,DC20,2024
609784008.0,ADJB,DC21,2020
234531692.0,AUDA,DC21,2020
513897625.0,ADJB,DC21,2021
8978698059.0,AUDA,DC21,2021
601577105.0,ADJB,DC21,2022
8525025630.0,AUDA,DC21,2022
749462823.0,ADJB,DC21,2023
8740298459.0,AUDA,DC21,2023
676951876.0,ADJB,DC21,2024
8981828412.0,AUDA,DC21,2024
300164235.0,ADJB,DC22,2020
138251122.0,AUDA,DC22,2020
342709497.0,ADJB,DC22,2021
229484013.0,AUDA,DC22,2021
