amount.sum,demarcation.code,financial_year_end.year
10352028664.0,BUF,2020
4050638804.0,BUF,2021
3944296002.0,BUF,2022
4162812613.0,BUF,2023
2965732203.0,BUF,2024
9476375461.0,CPT,2020
52782747132.0,CPT,2021
88837467582.0,CPT,2022
7737083379.0,CPT,2023
12624410780.0,CPT,2024
353680921.0,DC1,2020
432117017.0,DC1,2021
466843427.0,DC1,2022
424868081.0,DC1,2023
253031034.0,DC1,2024
212720150.0,DC10,2020
212247846.0,DC10,2021
217478852.0,DC10,2022
218197047.0,DC10,2023
209624789.0,DC10,2024
1592964571.0,DC12,2020
550089188.0,DC12,2021
435733933.0,DC12,2022
1137044999.0,DC12,2023
344758099.0,DC12,2024
377919268.0,DC13,2020
942203996.0,DC13,2021
586359200.0,DC13,2022
1049400865.0,DC13,2023
530727927.0,DC13,2024
4787072.0,DC14,2020
21429934.0,DC14,2021
-13705673.0,DC14,2022
-474937769.0,DC14,2023
572304107.0,DC14,2024
270992400.0,DC15,2020
872696708.0,DC15,2021
483491799.0,DC15,2022
256012203.0,DC15,2023
326749425.0,DC15,2024
10371065.0,DC16,2020
62015142.0,DC16,2021
94119788.0,DC16,2022
119791816.0,DC16,2023
146887794.0,DC16,2024
281368897.0,DC18,2021
264064547.0,DC18,2022
106197728.0,DC18,2023
70619828.0,DC18,2024
-1475275.0,DC19,2020
874809.0,DC19,2021
1450411.0,DC19,2022
-1915062.0,DC19,2023
-270650.0,DC19,2024
662228042.0,DC2,2020
712705190.0,DC2,2021
1181063044.0,DC2,2022
996209681.0,DC2,2023
218570402.0,DC2,2024
92978347.0,DC20,2020
125240534.0,DC20,2021
201045432.0,DC20,2022
244456233.0,DC20,2023
22026125.0,DC20,2024
49887771.0,DC21,2021
3822372810.0,DC21,2022
9633771892.0,DC21,2023
12455150022.0,DC21,2024
19301.0,DC22,2020
22495.0,DC22,2021
213566933.0,DC22,2022
15846417.0,DC22,2023
520262939.0,DC22,2024
497821581.0,DC23,2020
-79215702.0,DC23,2021
1392297439.0,DC23,2022
619126701.0,DC23,2023
551261744.0,DC23,2024
1929510451.0,DC24,2020
3853416720.0,DC24,2021
5480265604.0,DC24,2022
7332506515.0,DC24,2023
8866631020.0,DC24,2024
-17345440.0,DC25,2021
-222700858.0,DC25,2022
-159031340.0,DC25,2023
-73323478.0,DC25,2024
12478331.0,DC26,2020
417322294.0,DC26,2021
-26102799.0,DC26,2022
1395049342.0,DC26,2023
2438875940.0,DC26,2024
118091.0,DC27,2020
207842636.0,DC27,2023
413304000.0,DC27,2024
494347854.0,DC28,2020
2439416564.0,DC28,2021
2749243248.0,DC28,2022
229524112.0,DC28,2023
1397888833.0,DC28,2024
1175706964.0,DC29,2020
68893765.0,DC29,2021
1309606821.0,DC29,2022
190206369.0,DC29,2023
370452661.0,DC29,2024
7298572.0,DC3,2020
146739259.0,DC3,2021
-56981138.0,DC3,2022
-60076543.0,DC3,2023
166328814.0,DC3,2024
627479330.0,DC30,2020
449196283.0,DC30,2021
599007037.0,DC30,2022
535485028.0,DC30,2023
896633551.0,DC30,2024
542076162.0,DC31,2020
300469111.0,DC31,2021
585443699.0,DC31,2022
501871196.0,DC31,2023
502574405.0,DC31,2024
90111233.0,DC32,2020
534785986.0,DC32,2021
1413335874.0,DC32,2022
1422690832.0,DC32,2023
33647479.0,DC32,2024
1581000441.0,DC33,2020
1204201620.0,DC33,2021
621043529.0,DC33,2022
691622230.0,DC33,2023
877422300.0,DC33,2024
1753860574.0,DC34,2020
708023450.0,DC34,2021
250217459.0,DC34,2022
1559932348.0,DC34,2023
642854282.0,DC34,2024
256559043.0,DC35,2020
885044642.0,DC35,2021
444923861.0,DC35,2022
468578286.0,DC35,2023
556299831.0,DC35,2024
220144902.0,DC36,2020
129390278.0,DC36,2021
15347196.0,DC36,2023
4699955.0,DC36,2024
-253345.0,DC37,2021
352750247.0,DC38,2020
554964092.0,DC38,2021
289156994.0,DC38,2022
151013759.0,DC38,2023
300127177.0,DC38,2024
48897104.0,DC39,2020
56434759.0,DC39,2021
346001990.0,DC39,2022
878787732.0,DC39,2024
14695486.0,DC4,2020
177118503.0,DC4,2021
527352350.0,DC4,2022
81542098.0,DC4,2023
183780915.0,DC4,2024
36030601.0,DC40,2020
171116666.0,DC40,2021
549690704.0,DC40,2022
272355962.0,DC40,2023
657571170.0,DC40,2024
21504302.0,DC42,2020
130778003.0,DC42,2021
65578727.0,DC42,2022
106818572.0,DC42,2023
29695728.0,DC42,2024
58362815.0,DC43,2020
-312958250.0,DC43,2021
-65651689.0,DC43,2022
1305860490.0,DC43,2023
1625215266.0,DC43,2024
965013172.0,DC44,2020
599870788.0,DC44,2021
1562806759.0,DC44,2022
1152774268.0,DC44,2023
1175353571.0,DC44,2024
1696328.0,DC45,2020
15273293.0,DC45,2021
83228583.0,DC45,2022
122893611.0,DC45,2023
170837766.0,DC45,2024
189321569.0,DC47,2020
-850587694.0,DC47,2021
-2169568513.0,DC47,2022
194455277.0,DC47,2023
-465175121.0,DC47,2024
634734199.0,DC48,2021
450019250.0,DC48,2022
559848287.0,DC48,2023
1330941576.0,DC48,2024
-23081795.0,DC5,2020
23191532.0,DC5,2021
80491160.0,DC5,2022
654175955.0,DC5,2023
-68534866.0,DC5,2024
7537499.0,DC6,2020
98210969.0,DC6,2021
44557429.0,DC6,2022
36577650.0,DC6,2023
52750155.0,DC6,2024
12064670.0,DC7,2020
32554841.0,DC7,2021
41198774.0,DC7,2022
45903027.0,DC7,2023
56077176.0,DC7,2024
-106631.0,DC8,2020
26460674.0,DC8,2021
71927154.0,DC8,2022
72306542.0,DC8,2023
50136792.0,DC8,2024
79525598.0,DC9,2020
176529771.0,DC9,2021
35557476.0,DC9,2022
-12886788.0,DC9,2023
-3321949.0,DC9,2024
-600958.0,EC101,2020
-282377933.0,EC101,2021
-226853948.0,EC101,2022
109352287.0,EC101,2023
184239521.0,EC101,2024
73632756.0,EC102,2020
240602494.0,EC102,2021
243744108.0,EC102,2022
196955401.0,EC102,2024
59266689.0,EC104,2020
5677857.0,EC104,2021
118115219.0,EC104,2022
14597587.0,EC104,2023
-204899080.0,EC104,2024
377865765.0,EC105,2020
-9552889.0,EC105,2021
7874719.0,EC105,2022
-76040913.0,EC105,2023
118124749.0,EC105,2024
752855.0,EC106,2020
-216641759.0,EC106,2022
21316094.0,EC106,2023
-129303792.0,EC106,2024
756650915.0,EC108,2020
1776831377.0,EC108,2021
1643313961.0,EC108,2022
1210670490.0,EC108,2023
1602017404.0,EC108,2024
37763625.0,EC109,2020
619104.0,EC109,2021
-38086572.0,EC109,2022
-72633857.0,EC109,2023
5279778.0,EC121,2020
10277928.0,EC121,2021
44668172.0,EC121,2022
53300880.0,EC121,2023
60950788.0,EC121,2024
131809383.0,EC122,2020
407167164.0,EC122,2021
273464794.0,EC122,2022
2776072972.0,EC122,2023
-281035365.0,EC122,2024
74067945.0,EC123,2020
47325788.0,EC123,2021
53249106.0,EC123,2022
71810744.0,EC123,2023
-140352836.0,EC123,2024
20977717.0,EC124,2020
10575734.0,EC124,2021
27563116.0,EC124,2022
70520348.0,EC124,2023
180331519.0,EC124,2024
2606888.0,EC126,2020
2866685.0,EC126,2021
4334188.0,EC126,2022
19093324.0,EC126,2023
-846176876.0,EC126,2024
10974997.0,EC129,2021
64083383.0,EC129,2022
-239562693.0,EC129,2023
-688156892.0,EC129,2024
688466196.0,EC131,2020
157318772.0,EC131,2021
86838373.0,EC131,2022
-34415271.0,EC131,2023
-108687820.0,EC131,2024
17099123.0,EC135,2020
7522633.0,EC135,2021
15745854.0,EC135,2022
4603773.0,EC135,2023
39831199.0,EC135,2024
106905633.0,EC136,2020
143154053.0,EC136,2021
383434129.0,EC136,2022
1501008354.0,EC136,2023
1954623195.0,EC136,2024
382310784.0,EC137,2020
-38892862.0,EC137,2021
143092967.0,EC137,2022
-21123542.0,EC137,2023
-73892886.0,EC137,2024
133175015.0,EC138,2020
139789525.0,EC138,2021
161021249.0,EC138,2022
869635940.0,EC138,2023
-60590861.0,EC138,2024
11943814.0,EC139,2020
908070281.0,EC139,2021
843292911.0,EC139,2022
294811071.0,EC139,2023
922192089.0,EC139,2024
359043777.0,EC141,2020
333927404.0,EC141,2021
159976114.0,EC141,2022
146522063.0,EC141,2023
151733453.0,EC141,2024
313095400.0,EC142,2020
466892677.0,EC142,2021
987399443.0,EC142,2023
842671059.0,EC142,2024
