amount.sum,demarcation.code,financial_year_end.year,item.code,item.label
8052720566.0,BUF,2023,2900,Total Revenue (excluding capital transfers and contributions)
9108938273.0,BUF,2023,4400,Total Expenditure
-1056217707.0,BUF,2023,4500,Surplus/(Deficit)
9353422459.0,BUF,2024,2900,Total Revenue (excluding capital transfers and contributions)
10770697729.0,BUF,2024,4400,Total Expenditure
-1417275270.0,BUF,2024,4500,Surplus/(Deficit)
54414470221.0,CPT,2023,2900,Total Revenue (excluding capital transfers and contributions)
52445477103.0,CPT,2023,4400,Total Expenditure
1968993118.0,CPT,2023,4500,Surplus/(Deficit)
61841487486.0,CPT,2024,2900,Total Revenue (excluding capital transfers and contributions)
58313923784.0,CPT,2024,4400,Total Expenditure
3527563702.0,CPT,2024,4500,Surplus/(Deficit)
577830966.0,DC1,2023,2900,Total Revenue (excluding capital transfers and contributions)
541361344.0,DC1,2023,4400,Total Expenditure
36469622.0,DC1,2023,4500,Surplus/(Deficit)
555014996.0,DC1,2024,2900,Total Revenue (excluding capital transfers and contributions)
546463401.0,DC1,2024,4400,Total Expenditure
8551595.0,DC1,2024,4500,Surplus/(Deficit)
126858915.0,DC10,2023,2900,Total Revenue (excluding capital transfers and contributions)
138420954.0,DC10,2023,4400,Total Expenditure
-11562039.0,DC10,2023,4500,Surplus/(Deficit)
155625013.0,DC10,2024,2900,Total Revenue (excluding capital transfers and contributions)
180622676.0,DC10,2024,4400,Total Expenditure
-24997663.0,DC10,2024,4500,Surplus/(Deficit)
1602661267.0,DC12,2023,2900,Total Revenue (excluding capital transfers and contributions)
1473100412.0,DC12,2023,4400,Total Expenditure
129560855.0,DC12,2023,4500,Surplus/(Deficit)
1827195279.0,DC12,2024,2900,Total Revenue (excluding capital transfers and contributions)
1721939853.0,DC12,2024,4400,Total Expenditure
105255426.0,DC12,2024,4500,Surplus/(Deficit)
1329428868.0,DC13,2023,2900,Total Revenue (excluding capital transfers and contributions)
1622024405.0,DC13,2023,4400,Total Expenditure
-292595537.0,DC13,2023,4500,Surplus/(Deficit)
1383866499.0,DC13,2024,2900,Total Revenue (excluding capital transfers and contributions)
1438543106.0,DC13,2024,4400,Total Expenditure
-54676607.0,DC13,2024,4500,Surplus/(Deficit)
736801068.0,DC14,2023,2900,Total Revenue (excluding capital transfers and contributions)
652477771.0,DC14,2023,4400,Total Expenditure
84323297.0,DC14,2023,4500,Surplus/(Deficit)
766235717.0,DC14,2024,2900,Total Revenue (excluding capital transfers and contributions)
637224430.0,DC14,2024,4400,Total Expenditure
129011287.0,DC14,2024,4500,Surplus/(Deficit)
1437027202.0,DC15,2023,2900,Total Revenue (excluding capital transfers and contributions)
1611216942.0,DC15,2023,4400,Total Expenditure
-174189740.0,DC15,2023,4500,Surplus/(Deficit)
1553302131.0,DC15,2024,2900,Total Revenue (excluding capital transfers and contributions)
1995323343.0,DC15,2024,4400,Total Expenditure
-442021212.0,DC15,2024,4500,Surplus/(Deficit)
72404945.0,DC16,2023,2900,Total Revenue (excluding capital transfers and contributions)
69141553.0,DC16,2023,4400,Total Expenditure
3263392.0,DC16,2023,4500,Surplus/(Deficit)
69186212.0,DC16,2024,2900,Total Revenue (excluding capital transfers and contributions)
99969234.0,DC16,2024,4400,Total Expenditure
-30783022.0,DC16,2024,4500,Surplus/(Deficit)
157577625.0,DC18,2023,2900,Total Revenue (excluding capital transfers and contributions)
171343010.0,DC18,2023,4400,Total Expenditure
-13765385.0,DC18,2023,4500,Surplus/(Deficit)
163979433.0,DC18,2024,2900,Total Revenue (excluding capital transfers and contributions)
208352564.0,DC18,2024,4400,Total Expenditure
-44373131.0,DC18,2024,4500,Surplus/(Deficit)
148613676.0,DC19,2023,2900,Total Revenue (excluding capital transfers and contributions)
162480126.0,DC19,2023,4400,Total Expenditure
-13866450.0,DC19,2023,4500,Surplus/(Deficit)
160571552.0,DC19,2024,2900,Total Revenue (excluding capital transfers and contributions)
164630776.0,DC19,2024,4400,Total Expenditure
-4059224.0,DC19,2024,4500,Surplus/(Deficit)
450319312.0,DC2,2023,2900,Total Revenue (excluding capital transfers and contributions)
400569072.0,DC2,2023,4400,Total Expenditure
49750240.0,DC2,2023,4500,Surplus/(Deficit)
486119846.0,DC2,2024,2900,Total Revenue (excluding capital transfers and contributions)
463715496.0,DC2,2024,4400,Total Expenditure
22404350.0,DC2,2024,4500,Surplus/(Deficit)
188462498.0,DC20,2023,2900,Total Revenue (excluding capital transfers and contributions)
174969920.0,DC20,2023,4400,Total Expenditure
13492578.0,DC20,2023,4500,Surplus/(Deficit)
190354362.0,DC20,2024,2900,Total Revenue (excluding capital transfers and contributions)
172609068.0,DC20,2024,4400,Total Expenditure
17745294.0,DC20,2024,4500,Surplus/(Deficit)
1195461302.0,DC21,2023,2900,Total Revenue (excluding capital transfers and contributions)
1593154296.0,DC21,2023,4400,Total Expenditure
-397692994.0,DC21,2023,4500,Surplus/(Deficit)
1288171766.0,DC21,2024,2900,Total Revenue (excluding capital transfers and contributions)
1845413745.0,DC21,2024,4400,Total Expenditure
-557241979.0,DC21,2024,4500,Surplus/(Deficit)
1243107796.0,DC22,2023,2900,Total Revenue (excluding capital transfers and contributions)
1249212732.0,DC22,2023,4400,Total Expenditure
-6104936.0,DC22,2023,4500,Surplus/(Deficit)
1365545324.0,DC22,2024,2900,Total Revenue (excluding capital transfers and contributions)
1409971731.0,DC22,2024,4400,Total Expenditure
-44426407.0,DC22,2024,4500,Surplus/(Deficit)
830741624.0,DC23,2023,2900,Total Revenue (excluding capital transfers and contributions)
1098038595.0,DC23,2023,4400,Total Expenditure
-267296971.0,DC23,2023,4500,Surplus/(Deficit)
960403347.0,DC23,2024,2900,Total Revenue (excluding capital transfers and contributions)
1198929218.0,DC23,2024,4400,Total Expenditure
-238525871.0,DC23,2024,4500,Surplus/(Deficit)
589266826.0,DC24,2023,2900,Total Revenue (excluding capital transfers and contributions)
768753705.0,DC24,2023,4400,Total Expenditure
-179486879.0,DC24,2023,4500,Surplus/(Deficit)
630406132.0,DC24,2024,2900,Total Revenue (excluding capital transfers and contributions)
809178028.0,DC24,2024,4400,Total Expenditure
-178771896.0,DC24,2024,4500,Surplus/(Deficit)
280752000.0,DC25,2023,2900,Total Revenue (excluding capital transfers and contributions)
317699483.0,DC25,2023,4400,Total Expenditure
-36947483.0,DC25,2023,4500,Surplus/(Deficit)
293124740.0,DC25,2024,2900,Total Revenue (excluding capital transfers and contributions)
346408988.0,DC25,2024,4400,Total Expenditure
-53284248.0,DC25,2024,4500,Surplus/(Deficit)
730784935.0,DC26,2023,2900,Total Revenue (excluding capital transfers and contributions)
990581791.0,DC26,2023,4400,Total Expenditure
-259796856.0,DC26,2023,4500,Surplus/(Deficit)
846772615.0,DC26,2024,2900,Total Revenue (excluding capital transfers and contributions)
1143584026.0,DC26,2024,4400,Total Expenditure
-296811411.0,DC26,2024,4500,Surplus/(Deficit)
607185025.0,DC27,2023,2900,Total Revenue (excluding capital transfers and contributions)
752997882.0,DC27,2023,4400,Total Expenditure
-145812857.0,DC27,2023,4500,Surplus/(Deficit)
674725933.0,DC27,2024,2900,Total Revenue (excluding capital transfers and contributions)
847330827.0,DC27,2024,4400,Total Expenditure
-172604894.0,DC27,2024,4500,Surplus/(Deficit)
870483017.0,DC28,2023,2900,Total Revenue (excluding capital transfers and contributions)
1009083747.0,DC28,2023,4400,Total Expenditure
-138600730.0,DC28,2023,4500,Surplus/(Deficit)
905037977.0,DC28,2024,2900,Total Revenue (excluding capital transfers and contributions)
1067263456.0,DC28,2024,4400,Total Expenditure
-162225479.0,DC28,2024,4500,Surplus/(Deficit)
1241612517.0,DC29,2023,2900,Total Revenue (excluding capital transfers and contributions)
1420874662.0,DC29,2023,4400,Total Expenditure
-179262145.0,DC29,2023,4500,Surplus/(Deficit)
1477441201.0,DC29,2024,2900,Total Revenue (excluding capital transfers and contributions)
1449304260.0,DC29,2024,4400,Total Expenditure
28136941.0,DC29,2024,4500,Surplus/(Deficit)
268096977.0,DC3,2023,2900,Total Revenue (excluding capital transfers and contributions)
255983953.0,DC3,2023,4400,Total Expenditure
12113024.0,DC3,2023,4500,Surplus/(Deficit)
283462960.0,DC3,2024,2900,Total Revenue (excluding capital transfers and contributions)
268539242.0,DC3,2024,4400,Total Expenditure
14923718.0,DC3,2024,4500,Surplus/(Deficit)
814864162.0,DC30,2023,2900,Total Revenue (excluding capital transfers and contributions)
789093138.0,DC30,2023,4400,Total Expenditure
25771024.0,DC30,2023,4500,Surplus/(Deficit)
844720638.0,DC30,2024,2900,Total Revenue (excluding capital transfers and contributions)
826294574.0,DC30,2024,4400,Total Expenditure
18426064.0,DC30,2024,4500,Surplus/(Deficit)
726145120.0,DC31,2023,2900,Total Revenue (excluding capital transfers and contributions)
796243569.0,DC31,2023,4400,Total Expenditure
-70098449.0,DC31,2023,4500,Surplus/(Deficit)
991473050.0,DC31,2024,2900,Total Revenue (excluding capital transfers and contributions)
1094726972.0,DC31,2024,4400,Total Expenditure
-103253922.0,DC31,2024,4500,Surplus/(Deficit)
352621169.0,DC32,2023,2900,Total Revenue (excluding capital transfers and contributions)
372547024.0,DC32,2023,4400,Total Expenditure
-19925855.0,DC32,2023,4500,Surplus/(Deficit)
393866591.0,DC32,2024,2900,Total Revenue (excluding capital transfers and contributions)
422490702.0,DC32,2024,4400,Total Expenditure
-28624111.0,DC32,2024,4500,Surplus/(Deficit)
1563752436.0,DC33,2023,2900,Total Revenue (excluding capital transfers and contributions)
1941091918.0,DC33,2023,4400,Total Expenditure
-377339482.0,DC33,2023,4500,Surplus/(Deficit)
1697131488.0,DC33,2024,2900,Total Revenue (excluding capital transfers and contributions)
2001831429.0,DC33,2024,4400,Total Expenditure
-304699941.0,DC33,2024,4500,Surplus/(Deficit)
2171716313.0,DC34,2023,2900,Total Revenue (excluding capital transfers and contributions)
2368078104.0,DC34,2023,4400,Total Expenditure
-196361791.0,DC34,2023,4500,Surplus/(Deficit)
1927061543.0,DC34,2024,2900,Total Revenue (excluding capital transfers and contributions)
2144825495.0,DC34,2024,4400,Total Expenditure
-217763952.0,DC34,2024,4500,Surplus/(Deficit)
969341424.0,DC35,2023,2900,Total Revenue (excluding capital transfers and contributions)
902871216.0,DC35,2023,4400,Total Expenditure
66470208.0,DC35,2023,4500,Surplus/(Deficit)
990436491.0,DC35,2024,2900,Total Revenue (excluding capital transfers and contributions)
992511252.0,DC35,2024,4400,Total Expenditure
-2074761.0,DC35,2024,4500,Surplus/(Deficit)
154937349.0,DC36,2023,2900,Total Revenue (excluding capital transfers and contributions)
172276820.0,DC36,2023,4400,Total Expenditure
-17339471.0,DC36,2023,4500,Surplus/(Deficit)
159762842.0,DC36,2024,2900,Total Revenue (excluding capital transfers and contributions)
180957320.0,DC36,2024,4400,Total Expenditure
-21194478.0,DC36,2024,4500,Surplus/(Deficit)
436853793.0,DC37,2024,2900,Total Revenue (excluding capital transfers and contributions)
337657154.0,DC37,2024,4400,Total Expenditure
99196639.0,DC37,2024,4500,Surplus/(Deficit)
1009082299.0,DC38,2023,2900,Total Revenue (excluding capital transfers and contributions)
1601298911.0,DC38,2023,4400,Total Expenditure
-592216612.0,DC38,2023,4500,Surplus/(Deficit)
1030558273.0,DC38,2024,2900,Total Revenue (excluding capital transfers and contributions)
1301290721.0,DC38,2024,4400,Total Expenditure
-270732448.0,DC38,2024,4500,Surplus/(Deficit)
513741975.0,DC39,2024,2900,Total Revenue (excluding capital transfers and contributions)
785840716.0,DC39,2024,4400,Total Expenditure
-272098741.0,DC39,2024,4500,Surplus/(Deficit)
415920528.0,DC4,2023,2900,Total Revenue (excluding capital transfers and contributions)
433723835.0,DC4,2023,4400,Total Expenditure
-17803307.0,DC4,2023,4500,Surplus/(Deficit)
434774366.0,DC4,2024,2900,Total Revenue (excluding capital transfers and contributions)
468139118.0,DC4,2024,4400,Total Expenditure
-33364752.0,DC4,2024,4500,Surplus/(Deficit)
225376645.0,DC40,2023,2900,Total Revenue (excluding capital transfers and contributions)
233271122.0,DC40,2023,4400,Total Expenditure
-7894477.0,DC40,2023,4500,Surplus/(Deficit)
229477550.0,DC40,2024,2900,Total Revenue (excluding capital transfers and contributions)
250043270.0,DC40,2024,4400,Total Expenditure
-20565720.0,DC40,2024,4500,Surplus/(Deficit)
395154319.0,DC42,2023,2900,Total Revenue (excluding capital transfers and contributions)
399265084.0,DC42,2023,4400,Total Expenditure
-4110765.0,DC42,2023,4500,Surplus/(Deficit)
409965320.0,DC42,2024,2900,Total Revenue (excluding capital transfers and contributions)
428395565.0,DC42,2024,4400,Total Expenditure
-18430245.0,DC42,2024,4500,Surplus/(Deficit)
560414150.0,DC43,2023,2900,Total Revenue (excluding capital transfers and contributions)
635055761.0,DC43,2023,4400,Total Expenditure
-74641611.0,DC43,2023,4500,Surplus/(Deficit)
591885110.0,DC43,2024,2900,Total Revenue (excluding capital transfers and contributions)
772459003.0,DC43,2024,4400,Total Expenditure
-180573893.0,DC43,2024,4500,Surplus/(Deficit)
847482920.0,DC44,2023,2900,Total Revenue (excluding capital transfers and contributions)
816811174.0,DC44,2023,4400,Total Expenditure
30671746.0,DC44,2023,4500,Surplus/(Deficit)
908273337.0,DC44,2024,2900,Total Revenue (excluding capital transfers and contributions)
876771761.0,DC44,2024,4400,Total Expenditure
31501576.0,DC44,2024,4500,Surplus/(Deficit)
162928180.0,DC45,2023,2900,Total Revenue (excluding capital transfers and contributions)
170100536.0,DC45,2023,4400,Total Expenditure
-7172356.0,DC45,2023,4500,Surplus/(Deficit)
123499346.0,DC45,2024,2900,Total Revenue (excluding capital transfers and contributions)
141487368.0,DC45,2024,4400,Total Expenditure
-17988022.0,DC45,2024,4500,Surplus/(Deficit)
1225081497.0,DC47,2023,2900,Total Revenue (excluding capital transfers and contributions)
1194907728.0,DC47,2023,4400,Total Expenditure
30173769.0,DC47,2023,4500,Surplus/(Deficit)
1287830467.0,DC47,2024,2900,Total Revenue (excluding capital transfers and contributions)
