municipality.category,municipality.demarcation_code,municipality.long_name,municipality.miif_category,municipality.name,municipality.province_name
A,BUF,"Buffalo City, Eastern Cape",A,Buffalo City,Eastern Cape
A,CPT,"Cape Town, Western Cape",A,Cape Town,Western Cape
C,DC1,"West Coast, Western Cape",C1,West Coast,Western Cape
C,DC10,"Sarah Baartman, Eastern Cape",C1,Sarah Baartman,Eastern Cape
C,DC12,"Amathole, Eastern Cape",C2,Amathole,Eastern Cape
C,DC13,"Chris Hani, Eastern Cape",C2,Chris Hani,Eastern Cape
C,DC14,"Joe Gqabi, Eastern Cape",C2,Joe Gqabi,Eastern Cape
C,DC15,"O R Tambo, Eastern Cape",C2,O R Tambo,Eastern Cape
C,DC16,"Xhariep, Free State",C1,Xhariep,Free State
C,DC18,"Lejweleputswa, Free State",C1,Lejweleputswa,Free State
C,DC19,"Thabo Mofutsanyana, Free State",C1,Thabo Mofutsanyana,Free State
C,DC2,"Cape Winelands DM, Western Cape",C1,Cape Winelands DM,Western Cape
C,DC20,"Fezile Dabi, Free State",C1,Fezile Dabi,Free State
C,DC21,"Ugu, Kwazulu-Natal",C2,Ugu,Kwazulu-Natal
C,DC22,"uMgungundlovu, Kwazulu-Natal",C2,uMgungundlovu,Kwazulu-Natal
C,DC23,"Uthukela, Kwazulu-Natal",C2,Uthukela,Kwazulu-Natal
C,DC24,"Umzinyathi, Kwazulu-Natal",C2,Umzinyathi,Kwazulu-Natal
C,DC25,"Amajuba, Kwazulu-Natal",C2,Amajuba,Kwazulu-Natal
C,DC26,"Zululand, Kwazulu-Natal",C2,Zululand,Kwazulu-Natal
C,DC27,"Umkhanyakude, Kwazulu-Natal",C2,Umkhanyakude,Kwazulu-Natal
C,DC28,"King Cetshwayo, Kwazulu-Natal",C2,King Cetshwayo,Kwazulu-Natal
C,DC29,"iLembe, Kwazulu-Natal",C2,iLembe,Kwazulu-Natal
C,DC3,"Overberg, Western Cape",C1,Overberg,Western Cape
C,DC30,"Gert Sibande, Mpumalanga",C1,Gert Sibande,Mpumalanga
C,DC31,"Nkangala, Mpumalanga",C1,Nkangala,Mpumalanga
C,DC32,"Ehlanzeni, Mpumalanga",C1,Ehlanzeni,Mpumalanga
C,DC33,"Mopani, Limpopo",C2,Mopani,Limpopo
C,DC34,"Vhembe, Limpopo",C2,Vhembe,Limpopo
C,DC35,"Capricorn, Limpopo",C2,Capricorn,Limpopo
C,DC36,"Waterberg, Limpopo",C1,Waterberg,Limpopo
C,DC37,"Bojanala Platinum, North West",C1,Bojanala Platinum,North West
C,DC38,"Ngaka Modiri Molema, North West",C2,Ngaka Modiri Molema,North West
C,DC39,"Dr Ruth Segomotsi Mompati, North West",C2,Dr Ruth Segomotsi Mompati,North West
C,DC4,"Garden Route, Western Cape",C1,Garden Route,Western Cape
C,DC40,"Dr Kenneth Kaunda, North West",C1,Dr Kenneth Kaunda,North West
C,DC42,"Sedibeng, Gauteng",C1,Sedibeng,Gauteng
C,DC43,"Harry Gwala, Kwazulu-Natal",C2,Harry Gwala,Kwazulu-Natal
C,DC44,"Alfred Nzo, Eastern Cape",C2,Alfred Nzo,Eastern Cape
C,DC45,"John Taolo Gaetsewe, Northern Cape",C1,John Taolo Gaetsewe,Northern Cape
