amount.sum,demarcation.code,financial_year_end.year,item.code,item.label
12378750.0,BUF,2019,fruitless,Fruitless and Wasteful Expenditure
132542939.0,BUF,2019,irregular,Irregular Expenditure
42977417.0,BUF,2019,unauthorised,Unauthorised Expenditure
0.0,BUF,2020,fruitless,Fruitless and Wasteful Expenditure
302137787.0,BUF,2020,irregular,Irregular Expenditure
17649513.0,BUF,2020,unauthorised,Unauthorised Expenditure
0.0,BUF,2021,fruitless,Fruitless and Wasteful Expenditure
311222630.0,BUF,2021,irregular,Irregular Expenditure
0.0,BUF,2021,unauthorised,Unauthorised Expenditure
0.0,BUF,2022,fruitless,Fruitless and Wasteful Expenditure
6523478722.0,BUF,2022,irregular,Irregular Expenditure
163702130.0,BUF,2022,unauthorised,Unauthorised Expenditure
53713.0,BUF,2023,fruitless,Fruitless and Wasteful Expenditure
1713312375.0,BUF,2023,irregular,Irregular Expenditure
0.0,BUF,2023,unauthorised,Unauthorised Expenditure
692826.0,BUF,2024,fruitless,Fruitless and Wasteful Expenditure
1317740495.0,BUF,2024,irregular,Irregular Expenditure
403496432.0,BUF,2024,unauthorised,Unauthorised Expenditure
19802000.0,CPT,2019,fruitless,Fruitless and Wasteful Expenditure
950370000.0,CPT,2019,irregular,Irregular Expenditure
0.0,CPT,2019,unauthorised,Unauthorised Expenditure
28000.0,CPT,2020,fruitless,Fruitless and Wasteful Expenditure
669164000.0,CPT,2020,irregular,Irregular Expenditure
6567000.0,CPT,2020,unauthorised,Unauthorised Expenditure
12328000.0,CPT,2021,fruitless,Fruitless and Wasteful Expenditure
762186000.0,CPT,2021,irregular,Irregular Expenditure
0.0,CPT,2021,unauthorised,Unauthorised Expenditure
4340000.0,CPT,2022,fruitless,Fruitless and Wasteful Expenditure
33274000.0,CPT,2022,irregular,Irregular Expenditure
0.0,CPT,2022,unauthorised,Unauthorised Expenditure
593000.0,CPT,2023,fruitless,Fruitless and Wasteful Expenditure
11989000.0,CPT,2023,irregular,Irregular Expenditure
0.0,CPT,2023,unauthorised,Unauthorised Expenditure
0.0,CPT,2024,fruitless,Fruitless and Wasteful Expenditure
634262000.0,CPT,2024,irregular,Irregular Expenditure
0.0,CPT,2024,unauthorised,Unauthorised Expenditure
21513.0,DC1,2019,fruitless,Fruitless and Wasteful Expenditure
4548601.0,DC1,2019,irregular,Irregular Expenditure
0.0,DC1,2019,unauthorised,Unauthorised Expenditure
692724.0,DC1,2020,fruitless,Fruitless and Wasteful Expenditure
11273471.0,DC1,2020,irregular,Irregular Expenditure
0.0,DC1,2020,unauthorised,Unauthorised Expenditure
315879.0,DC1,2021,fruitless,Fruitless and Wasteful Expenditure
8652271.0,DC1,2021,irregular,Irregular Expenditure
0.0,DC1,2021,unauthorised,Unauthorised Expenditure
27781.0,DC1,2022,fruitless,Fruitless and Wasteful Expenditure
13088013.0,DC1,2022,irregular,Irregular Expenditure
0.0,DC1,2022,unauthorised,Unauthorised Expenditure
15622.0,DC1,2023,fruitless,Fruitless and Wasteful Expenditure
6076110.0,DC1,2023,irregular,Irregular Expenditure
0.0,DC1,2023,unauthorised,Unauthorised Expenditure
116292.0,DC1,2024,fruitless,Fruitless and Wasteful Expenditure
423085.0,DC1,2024,irregular,Irregular Expenditure
0.0,DC1,2024,unauthorised,Unauthorised Expenditure
4911.0,DC10,2019,fruitless,Fruitless and Wasteful Expenditure
1400079.0,DC10,2019,irregular,Irregular Expenditure
0.0,DC10,2019,unauthorised,Unauthorised Expenditure
9309.0,DC10,2020,fruitless,Fruitless and Wasteful Expenditure
5015664.0,DC10,2020,irregular,Irregular Expenditure
0.0,DC10,2020,unauthorised,Unauthorised Expenditure
0.0,DC10,2021,fruitless,Fruitless and Wasteful Expenditure
1718002.0,DC10,2021,irregular,Irregular Expenditure
0.0,DC10,2021,unauthorised,Unauthorised Expenditure
1564.0,DC10,2022,fruitless,Fruitless and Wasteful Expenditure
997659.0,DC10,2022,irregular,Irregular Expenditure
0.0,DC10,2022,unauthorised,Unauthorised Expenditure
86518.0,DC10,2023,fruitless,Fruitless and Wasteful Expenditure
1481081.0,DC10,2023,irregular,Irregular Expenditure
0.0,DC10,2023,unauthorised,Unauthorised Expenditure
11700.0,DC10,2024,fruitless,Fruitless and Wasteful Expenditure
12366465.0,DC10,2024,irregular,Irregular Expenditure
