long_name,province_name,category,revenue,expenditure,cash_months,overdue_pct,op_margin,uifw_pct,capex_exec,audit,health_score,ratios_used
"Buffalo City, Eastern Cape",Eastern Cape,A,9353422459.0,10770697729.0,3.304222932575439,67.65926597714319,-15.152477889377028,15.987169971019805,144.95585983027328,Qualified,52.898836424526344,4
"Cape Town, Western Cape",Western Cape,A,61841487486.0,58313923784.0,2.5978860541290856,55.010145936361454,5.704202543314612,1.087668191132813,68.561428905037,Unqualified - No findings,75.19290848727307,4
"West Coast, Western Cape",Western Cape,C,555014996.0,546463401.0,5.556405794868594,9.313002381882619,1.5407862961598249,0.09870322495760334,42.945082078012184,Unqualified - No findings,81.79860918901448,4
"Sarah Baartman, Eastern Cape",Eastern Cape,C,155625013.0,180622676.0,13.926808769016356,,-16.062753999577176,6.8530514961476925,59.35592335528267,Unqualified - Emphasis of Matter items,62.866602767876294,3
"Amathole, Eastern Cape",Eastern Cape,C,1827195279.0,1721939853.0,2.402579382080194,86.9426244529724,5.760491350306297,49.71833920380261,73.94046708100454,Qualified,41.46220111658454,4
"Chris Hani, Eastern Cape",Eastern Cape,C,1383866499.0,1438543106.0,4.427211876680461,68.08848784338437,-3.951003007841438,17.617969732218786,27.401386649549035,Qualified,58.33155959123855,4
"Joe Gqabi, Eastern Cape",Eastern Cape,C,766235717.0,637224430.0,10.777441919481962,90.09200537169029,16.837023403856804,0.0,77.80340935380698,Unqualified - No findings,71.1196232376256,4
"O R Tambo, Eastern Cape",Eastern Cape,C,1553302131.0,1995323343.0,1.9650915796457957,78.45601731682402,-28.456872824569636,22.575992536764502,40.02150397243553,Unqualified - Emphasis of Matter items,36.96771176075175,4
"Xhariep, Free State",Free State,C,69186212.0,99969234.0,17.63195992879169,83.6549064964439,-44.49300100430415,17.099154725942984,17.047783966076565,Unqualified - Emphasis of Matter items,45.16362958362755,4
"Lejweleputswa, Free State",Free State,C,163979433.0,208352564.0,4.067326649265521,99.95048944094484,-27.060180772792403,11.939216644341368,82.61990539119743,Unqualified - Emphasis of Matter items,32.90234063062883,4
"Thabo Mofutsanyana, Free State",Free State,C,160571552.0,164630776.0,-0.019727781639078224,100.0,-2.5279845336488993,6.833549153652778,21.718944507514465,Unqualified - Emphasis of Matter items,39.081908800062365,4
"Cape Winelands DM, Western Cape",Western Cape,C,486119846.0,463715496.0,5.656150908530346,0.46605449560634404,4.6088120417943195,0.0,65.03889589717431,Unqualified - No findings,85.78272014631389,4
